,ts,name,dish_id,plates,lids,stickers,toothpicks,pick_time
0,2016-08-10 21:20:09.488060,Will,plate,5.0,5.0,5.0,612.5,120.0
1,2016-08-10 21:20:24.078450,Will,2,5.0,5.0,5.0,612.5,3.0
