,ts,name,dish_id,plates,lids,stickers,toothpicks,pick_time
0,2016-08-17 23:05:46.924546,Giles,elleven,4.0,4.0,4.0,490.0,12.0
1,2017-01-25 17:19:40.894784,Giles,12345,1.0,1.0,1.0,122.5,1.0
