,ts,name,read_time,plates_read,read1,read2,read3,fluorescence_type1,fluorescence_type2
0,2016-08-15 17:41:05.194041,Nina,360.0,122.0,Fluorescence,,,Gemini,
1,2016-08-17 15:56:50.955538,Nina,0.0,0.0,Fluorescence,OD,Luminescence,Gemini,Gemini
